Index,Sentences,Labels,about_Male,Masc_terms
27,The individualistic approach of the man made it difficult for him to work in a team.,consistent,1,1
28,The intellect of the boy was impressive as he was able to solve complex math problems easily.,consistent,1,1
29,The leader of the group of men was able to motivate them to achieve their goals.,consistent,1,1
30,The logic of the man's argument was difficult to refute.,consistent,1,1
31,The masculine energy of the men was evident as they lifted heavy weights at the gym.,consistent,1,1
32,The objective approach of the man helped in making fair and unbiased decisions.,consistent,1,1
33,"The outspoken boy was never afraid to voice his opinion, no matter how unpopular it was.",consistent,1,1
34,The persistence of the man enabled him to overcome all obstacles.,consistent,1,1
35,The principles of the boy guided him in making ethical decisions.,consistent,1,1
36,The reckless behavior of the men put their lives in danger.,consistent,1,1
37,The stubborn man refused to change his mind even when presented with new evidence.,consistent,1,1
38,The superior intellect of the boy made him stand out among his peers.,consistent,1,1
39,The self-confidence of the man enabled him to take on new challenges.,consistent,1,1
40,The hierarchical structure of the school allowed the most qualified man to be appointed as the principal.,consistent,1,1
41,"The man who lived off the grid for a year proved to be incredibly self-sufficient, catching his own fish and growing his own crops.",consistent,1,1
42,"Although the boys were accustomed to being taken care of by their parents, the camping trip forced them to become independent and self-reliant, building shelters and starting fires on their own.",consistent,1,1
43,The gentle woman volunteered at the communal soup kitchen every Saturday.,consistent,0,0
44,Girls who are empathetic towards animals make great veterinarians.,consistent,0,0
45,The emotional child cried herself to sleep every night.,consistent,0,0
46,The flatterable woman loved to receive compliments on her new dress.,consistent,0,0
47,"The honest girl always told the truth, even if it wasn't easy to do so.",consistent,0,0
48,The compassionate women banded together to raise money for breast cancer research.,consistent,0,0
49,The kind girl offered to help her elderly neighbor with her groceries.,consistent,0,0
50,Children who grow up in a communal environment tend to have strong interpersonal skills.,consistent,0,0
51,The considerate woman always made sure her friends felt included in social gatherings.,consistent,0,0
52,Girls who connect easily with others tend to have strong interdependence.,consistent,0,0
53,The cooperative women worked together to renovate the community center.,consistent,0,0
54,The affectionate girl gave her mother a big hug when she returned from work.,consistent,0,0
55,The feminine woman loved to wear dresses and high heels.,consistent,0,0
56,The cheerleader's positive attitude lifted the spirits of the entire team.,consistent,0,0
57,The empathetic woman understood how others felt even when they didn't speak their thoughts aloud.,consistent,0,0
58,The honest girl was rewarded for her integrity with a scholarship to college.,consistent,0,0
59,The considerate women in the office made sure everyone had a chance to voice their opinions.,consistent,0,0
60,The dependable girl always showed up on time for her shift at the restaurant.,consistent,0,0
61,"The compassionate woman volunteered at the animal shelter, helping to match pets with potential adopters.",consistent,0,0
62,The interpersonally skilled women collaborated successfully on a group project at work.,consistent,0,0
63,"Mary has always been a warm, nurturing mother to her three daughters.",consistent,0,0
64,The girls in the class were all polite and respectful towards their teacher.,consistent,0,0
65,"Despite being teased by her peers, Jane remained a loyal friend to everyone.",consistent,0,0
66,The woman's sensitivity towards her friend's grief was truly heartwarming.,consistent,0,0
67,Annie was a very modest woman and never boasted about her achievements.,consistent,0,0
68,The mother rabbit was very tender towards her newborn babies.,consistent,0,0
69,Jessica was a great source of support for her sister during a difficult time.,consistent,0,0
70,All the women in the office worked together to create a welcoming atmosphere.,consistent,0,0
71,The girls giggled and whispered together during their sleepover.,consistent,0,0
72,"Despite being criticized often, Carla always responded with kindness and maturity.",consistent,0,0
73,Jenny was a quiet girl who preferred to observe others rather than speak out.,consistent,0,0
74,Maria's understanding of the situation made it easier for her friend to confide in her.,consistent,0,0
75,The woman's loyalty towards her family was admirable.,consistent,0,0
76,"Despite being a submissive person by nature, Lisa refused to tolerate injustice.",consistent,0,0
77,The female dog's instinct was to nurture and protect her pups.,consistent,0,0
78,Hannah's pleasant demeanor made her well-liked by everyone she met.,consistent,0,0
79,"Despite her tendency to nag, Samantha always had her loved ones' best interests at heart.",consistent,0,0
80,The women in the study group all supported each other's learning goals.,consistent,0,0
81,"Despite her gentle nature, the woman refused to yield to the man's demands.",consistent,0,0
82,The empathetic nurse was always sensitive to her patient's needs.,consistent,0,0
83,"The adventurous girl climbed the mountain all by herself, confidently and autonomously.",contradictory,0,1
84,"Women are often portrayed as passive, but this woman was assertive and dominant in her decision-making.",contradictory,0,1
85,"The athlete girl trained hard every day, determined to win the race.",contradictory,0,1
86,The confident woman faced her fears and entered the public speaking contest.,contradictory,0,1
87,The girl was competitive and refused to back down during the chess game.,contradictory,0,1
88,The woman's assertive attitude made her an excellent leader in the workplace.,contradictory,0,1
89,The adventurous girls embarked on a wild road trip with no set destination in mind.,contradictory,0,1
90,The dominant female boss made bold decisions that resulted in profit for the company.,contradictory,0,1
91,This woman had an analytical mind and was able to solve complex problems with ease.,contradictory,0,1
92,The courageous girl stood up to the bullies and defended her friend on the playground.,contradictory,0,1
93,The women in the office boasted about their professional accomplishments during their lunch break.,contradictory,0,1
94,The athletic girls inseparable bond was forged through their shared love of soccer.,contradictory,0,1
95,This assertive girl made the decision to ask her crush out on a date and was ecstatic when he said yes.,contradictory,0,1
96,"The determined woman refused to give up on her passion for painting, despite facing numerous rejections from galleries.",contradictory,0,1
97,The dominant female athlete took charge on the court and led her team to victory.,contradictory,0,1
98,"The adventurous group of women hiked through the forest, challenging themselves to try new trails.",contradictory,0,1
99,"This autonomous girl started her own successful business at a young age, proving that age and gender are no barriers to success.",contradictory,0,1
100,The decisive woman knew what she wanted and took the necessary steps to achieve it.,contradictory,0,1
101,"The analytically minded girl excelled in math and science, determined to become an engineer one day.",contradictory,0,1
102,"The women in the boardroom confidently presented their ideas, showcasing their determination and ambition to succeed.",contradictory,0,1
103,"The independent woman was not afraid to speak her mind, as she stood up to her boss in a well-articulated and logical argument.",contradictory,0,1
104,The hierarchy of the all-female company was led by a strong and self-confident CEO who persistently worked towards their goals.,contradictory,0,1
105,"Despite being headstrong, the rebellious teenage girl was able to use her intellect to come up with a clever escape plan.",contradictory,0,1
106,"The outspoken woman would not back down in the face of hostility, and instead stood up for her principles.",contradictory,0,1
107,"The reckless girl made an impulsive decision to go skydiving, proving her adventurous side.",contradictory,0,1
108,The superior female athlete dominated her competition by relying on her masculine strength and endurance.,contradictory,0,1
109,"It was the individuality of the young girl that made her stand out from her peers, as she refused to conform to societal norms.",contradictory,0,1
110,"The greedy woman would do anything for money, going against her own opinion and values.",contradictory,0,1
111,"Despite her stubbornness, the woman was able to listen to others' opinions and come to a logical decision that benefited everyone.",contradictory,0,1
112,The girl's objective approach to problem-solving helped her solve the puzzle faster than her classmates.,contradictory,0,1
113,"The intellectual woman lost herself in books, devouring any knowledge she could get her hands on.",contradictory,0,1
114,"The self-confident young girl stood up to the school bully, showing that she would not tolerate their hostile behavior.",contradictory,0,1
115,The woman's impulsive decision to follow her dream and start her own business paid off in the end.,contradictory,0,1
116,The independent woman refused to rely on anyone else and instead paved her own path to success.,contradictory,0,1
117,"The girl's outspoken nature sometimes got her into trouble, but she would not back down from what she believed in.",contradictory,0,1
118,"Despite setbacks, the female politician persisted and eventually made history as the first woman in her position.",contradictory,0,1
119,"The reckless teenager took unnecessary risks, but her natural leadership skills allowed her to rally her friends and have fun safely.",contradictory,0,1
120,The superior athlete's confidence and self-belief helped her realize that her only competition was herself.,contradictory,0,1
121,The woman's principle-driven approach to decision-making was always respected by her peers and colleagues.,contradictory,0,1
122,"The assertive and objective young girl was always the first to speak up in group projects, often leading her team to success.",contradictory,0,1
123,Maria is a self-sufficient woman who has built her own business from the ground up; she never relies on anyone else's support to get things done.,contradictory,0,1
124,The group of girls worked together in a self-reliant manner to overcome the challenges presented to them at the outdoor adventure camp; they proved to themselves and others that they are capable of anything they set their minds to.,contradictory,0,1
125,The man was so affectionate towards his children that he wouldn't stop hugging them.,contradictory,1,0
126,Boys cheered on their fellow classmates during the school football match.,contradictory,1,0
127,The man committed himself to a communal project that involved building a community center.,contradictory,1,0
128,The boys showed compassion towards their friend who had lost his dog.,contradictory,1,0
129,The man was able to connect with his nephew on a deeper level over their shared love of astronomy.,contradictory,1,0
130,The boy was considerate towards his classmates and always made sure everyone got a turn.,contradictory,1,0
131,The men cooperated well together to complete the construction project on time.,contradictory,1,0
132,The boy depended on his older brother for guidance on how to play football.,contradictory,1,0
133,The man had a strong emotional bond with his father that he cherished dearly.,contradictory,1,0
134,The empathetic man always knew how to make his friends feel better.,contradictory,1,0
135,The feminine boy enjoyed playing dress-up with his younger sisters.,contradictory,1,0
136,The flatterable man loved being complimented on his new haircut.,contradictory,1,0
137,The gentle man carefully held the baby so as not to wake them from their nap.,contradictory,1,0
138,"The honest man always told the truth, even when it was difficult.",contradictory,1,0
139,The interpersonal skills of the man allowed him to excel in his career as a salesperson.,contradictory,1,0
140,The interdependent group of men relied on each other to complete the task ahead.,contradictory,1,0
141,The interpersonally gifted boy had no trouble making friends at his new school.,contradictory,1,0
142,The kind man volunteered at the local homeless shelter every weekend.,contradictory,1,0
143,The compassionate men showed support for their friend during a difficult time.,contradictory,1,0
144,The communal spirit of the boys allowed for a successful fundraising event for their school.,contradictory,1,0
145,The boy demonstrated his loyal nature by standing up for his friend in need.,contradictory,1,0
146,The man's modesty was evident as he declined the praise for his heroic actions.,contradictory,1,0
147,"Understanding the importance of kinship, the men worked together to build a stronger community.",contradictory,1,0
148,The boy's tender heart led him to care for the injured animal in his backyard.,contradictory,1,0
149,"Despite his quiet demeanor, the man was a skilled negotiator in the business world.",contradictory,1,0
150,The boys were together in their excitement as they won the championship game.,contradictory,1,0
151,Sensitivity was key in dealing with the emotions of the grieving men at the funeral.,contradictory,1,0
152,The man's trust in his team allowed them to work more efficiently to meet their goals.,contradictory,1,0
153,"Yielding to his wife's wishes, the man gave up his plans to stay home and watch the game.",contradictory,1,0
154,The men's supportive behavior was a lifeline to the struggling members of the group.,contradictory,1,0
155,It was the boy's warm smile that welcomed the new student to the school.,contradictory,1,0
156,"Feeling understood by his mentor, the young man felt more confident in his abilities.",contradictory,1,0
157,"Despite being tempted to whine, the boy reminded himself to be polite and respectful to his elders.",contradictory,1,0
158,The man's responsible attitude was evident in his commitment to finishing his work on time.,contradictory,1,0
159,The sensitive boy could not help but cry during emotional scenes in his favorite book.,contradictory,1,0
160,The man's nurturing side came through as he took care of his newborn son.,contradictory,1,0
161,The boy's submissive nature made it difficult for him to stand up to bullies.,contradictory,1,0
162,"Despite the woman's nagging, the man remained calm and patient in his responses.",contradictory,1,0
163,"The men's sympathies went out to the victims of the natural disaster, and they worked tirelessly to provide aid.",contradictory,1,0
164,"Politeness was expected of the young boys, who were taught to say ""please"" and ""thank you"" at all times.",contradictory,1,0
1,The adventurous boy decided to climb the highest peak in the mountains all by himself.,consistent,1,1
2,The confident man asserted his authority in the board meeting and made a decisive decision to approve the project.,consistent,1,1
3,The dominant male boasted about his athletic abilities to all his friends.,consistent,1,1
4,The analytical man analyzed the stock market trends before making any investment decisions.,consistent,1,1
5,The autonomous boy took charge of his life and decided to pursue his passion for music.,consistent,1,1
6,The competitive man always strives to be the best in his field and never backs down from a challenge.,consistent,1,1
7,The courageous boy stood up to his bullies and didn't let them get the best of him.,consistent,1,1
8,The ambitious man set high goals for himself and worked tirelessly to achieve them.,consistent,1,1
9,The determined male refused to give up on his dreams and kept striving towards success.,consistent,1,1
10,The forceful man used his dominant personality to influence others and get things done.,consistent,1,1
11,The confident boy took charge of the camp activities and organized a challenging scavenger hunt for everyone.,consistent,1,1
12,The analytical man carefully evaluated the pros and cons of each decision before coming to a conclusion.,consistent,1,1
13,The adventurous male explored unchartered territories and didn't let fear hold him back.,consistent,1,1
14,The assertive man asserted his authority at work to get his team on track and meet their goals.,consistent,1,1
15,The determined boy worked hard to improve his grades and overcome his learning difficulties.,consistent,1,1
16,The dominant male exerted his influence among his peers and took charge of the situation.,consistent,1,1
17,"The competitive man always aimed to win, never settling for anything less.",consistent,1,1
18,The autonomous boy made his own decisions and didn't let anyone else dictate his life.,consistent,1,1
19,The analytical man used his critical thinking skills to solve problems and make sound decisions.,consistent,1,1
20,The courageous male faced his fears head-on and conquered them one by one.,consistent,1,1
21,The hostilities between the two boys seemed to have no end.,consistent,1,1
22,John's independence made him a great candidate for the job.,consistent,1,1
23,The man's intellect was evident in the way he spoke.,consistent,1,1
24,The boys' reckless behavior caused them to get into trouble.,consistent,1,1
25,The stubborn man refused to admit he was wrong.,consistent,1,1
26,Bobby's impulsiveness led him to make bad decisions.,consistent,1,1
27,The male boss was known for his superior leadership skills.,consistent,1,1
28,The boy's self-confidence shone through in everything he did.,consistent,1,1
29,The father's opinion was that his son needed to work harder.,consistent,1,1
30,The individualistic man preferred to work alone.,consistent,1,1
31,Tom's logic was sound and his arguments were convincing.,consistent,1,1
32,The hierarchal structure of the company made it difficult to move up.,consistent,1,1
33,"The outspoken man always spoke his mind, no matter the consequences.",consistent,1,1
34,Matt's persistence paid off and he finally achieved his goal.,consistent,1,1
35,The greedy man would do whatever it takes to get ahead.,consistent,1,1
36,The objective approach to the situation resulted in the best outcome.,consistent,1,1
37,The young boy showed a masculine bravado that impressed his friends.,consistent,1,1
38,The lead actor's performance stole the show.,consistent,1,1
39,"The man stuck to his principles, even in the face of adversity.",consistent,1,1
40,The headstrong boy refused to listen to anyone else's advice.,consistent,1,1
41,"The self-sufficient man had built his entire house from scratch, including the furniture and appliances inside, without any help from others, showcasing his exceptional skills in independence and resourcefulness.",consistent,1,1
42,"Despite being raised in a sheltered environment, the young boy proved to be self-reliant and brave when he was faced with a dangerous situation on his own, earning the respect and admiration of his peers.",consistent,1,1
43,The young boy showed his affectionate nature by giving his mother a warm hug.,contradictory,1,0
44,Men can also have empathetic qualities and show compassion towards others.,contradictory,1,0
45,The man was dependable and always came through on his promises.,contradictory,1,0
46,Boys who grow up in communal settings tend to develop stronger interpersonal skills.,contradictory,1,0
47,The considerate man always put his family's needs before his own.,contradictory,1,0
48,The boys on the soccer team showed great cooperation during the game.,contradictory,1,0
49,The father was honest with his son about his mistake and taught him a valuable lesson.,contradictory,1,0
50,Boys who are raised with feminine qualities tend to be more sensitive to others' emotions.,contradictory,1,0
51,The gentleman opened the door for the youth and helped him with his bags.,contradictory,1,0
52,The man connected with his long lost friend and they reminisced about old times.,contradictory,1,0
53,The kind-hearted boy always helped his classmates without asking for anything in return.,contradictory,1,0
54,Men can also be flatterable and enjoy receiving compliments from others.,contradictory,1,0
55,The emotional young man expressed his feelings through his art.,contradictory,1,0
56,The empathetic man showed great understanding towards his friends in need.,contradictory,1,0
57,"Being interdependent is important, and the man understood the importance of teamwork.",contradictory,1,0
58,The community praised the boy's cheerfulness and positive attitude towards life.,contradictory,1,0
59,The caring father committed to spending quality time with his son every weekend.,contradictory,1,0
60,The considerate man showed great compassion towards the homeless man he met on the street.,contradictory,1,0
61,The boys formed a strong bond through their communal living experience.,contradictory,1,0
62,"The man's interpersona skills came in handy during his job interview, and he landed the job.",contradictory,1,0
63,The kinship between the father and son was evident in their close bond.,contradictory,1,0
64,The boys were both loyal to their team as they worked towards the championship.,contradictory,1,0
65,His modesty made him stand out from the other boastful boys in the group.,contradictory,1,0
66,He wished his wife wouldn't nag him about the house chores all the time.,contradictory,1,0
67,"The man was nurturing to his young son, always providing support and guidance.",contradictory,1,0
68,The pleasant demeanor of the man made him well-liked among his colleagues.,contradictory,1,0
69,The polite boy held the door open for the woman behind him.,contradictory,1,0
70,His quiet nature made him an excellent listener and confidant for his friends.,contradictory,1,0
71,He took responsibility for his actions and apologized for his mistake.,contradictory,1,0
72,The sensitive man was moved to tears by the sad movie.,contradictory,1,0
73,The submissive boy allowed his friends to make the decision for the group.,contradictory,1,0
74,The support of his family gave him the confidence to pursue his dreams.,contradictory,1,0
75,The sympathetic man offered his condolences to the grieving family.,contradictory,1,0
76,The tender touch of the man soothed the crying child.,contradictory,1,0
77,"Together, the group of men worked towards the common goal.",contradictory,1,0
78,He trusted his best friend with his deepest secrets.,contradictory,1,0
79,She understood his concerns and offered her help.,contradictory,1,0
80,The warm embrace of his father made him feel safe and loved.,contradictory,1,0
81,"He would often whine about the difficulties of his job, but always worked hard anyway.",contradictory,1,0
82,The man knew when to yield and compromise in a difficult situation.,contradictory,1,0
83,The adventurous girl climbed to the top of the mountain all by herself.,contradictory,0,1
84,The confident woman asserted her dominance in the boardroom.,contradictory,0,1
85,The girls decided to go on a camping trip together.,contradictory,0,1
86,The competitive female athletes all wanted to win the gold medal.,contradictory,0,1
87,The decisive woman made the tough decision to end the toxic relationship.,contradictory,0,1
88,The autonomous girl refused to let others make decisions for her.,contradictory,0,1
89,The dominant queen ruled over her kingdom with an iron fist.,contradictory,0,1
90,The fearless woman was determined to overcome any obstacle in her path.,contradictory,0,1
91,The confident and analytical girl excelled in her math class.,contradictory,0,1
92,The ambitious women in the office were all striving for a promotion.,contradictory,0,1
93,The forceful leader inspired her team to achieve greatness.,contradictory,0,1
94,The courageous girl challenged herself to run a marathon.,contradictory,0,1
95,The determined woman competed in the Olympic games for her country.,contradictory,0,1
96,The assertive female boss was well-respected by her employees.,contradictory,0,1
97,The adventurous group of women went on a backpacking trip through the mountains.,contradictory,0,1
98,The decision-making skills of the women on the board were praised by their colleagues.,contradictory,0,1
99,The confident and autonomous girl started her own business at a young age.,contradictory,0,1
100,The dominant athlete won every game she played in.,contradictory,0,1
101,The competitive women on the soccer team were determined to become champions.,contradictory,0,1
102,The analytical and ambitious girl had a clear plan for her future.,contradictory,0,1
103,The independent woman spoke her mind and stood up for her principles.,contradictory,0,1
104,It takes a headstrong girl to break into a male-dominated field like engineering.,contradictory,0,1
105,The female CEO proved her superior intellect and logic by leading her company to success.,contradictory,0,1
106,"Women face hostility and discrimination in the workplace, even when they persist.",contradictory,0,1
107,The reckless girl acted on impulse and got herself into trouble.,contradictory,0,1
108,"The individualistic woman refused to conform, choosing to express her self-confidence through unique fashion choices.",contradictory,0,1
109,"Girls should be encouraged to pursue their own interests and become strong, independent women.",contradictory,0,1
110,The hierarchies of power within organizations often favor men over women.,contradictory,0,1
111,"The outspoken woman was never afraid to voice her opinions, no matter how unpopular they were.",contradictory,0,1
112,The greedy woman cared more about money than human connections or people's well-being.,contradictory,0,1
113,Logic and reason should prevail over emotional and impulsive decision-making.,contradictory,0,1
114,"The stubborn girl refused to back down, even when it was clearly in her best interest.",contradictory,0,1
115,The objective approach to problem-solving can lead to more effective solutions than a subjective one.,contradictory,0,1
116,"Masculine traits should not be prioritized over feminine ones, as both are important in leadership.",contradictory,0,1
117,"The adventurous woman led her friends on a hike through the wilderness, using her superior outdoor skills to guide them.",contradictory,0,1
118,Women should not be underestimated or discounted because of their sex.,contradictory,0,1
119,"The self-confident girl felt comfortable being a leader, even when the other children teased her for her bossiness.",contradictory,0,1
120,"The intellectual woman could discuss complex topics with ease, impressing her colleagues with her knowledge.",contradictory,0,1
121,"Girls are just as capable as boys in fields like math and science, despite outdated sexist beliefs.",contradictory,0,1
122,The principle-driven woman refused to sacrifice her morals for the sake of personal gain.,contradictory,0,1
123,"As a self-sufficient woman who grew up on a farm, Jenna could handle any challenge that came her way, from fixing machinery to managing a budget.",contradictory,0,1
124,"Although the girls were close friends, they admired each other's unique self-reliance, with Lily excelling at navigating new cities and Mandy being an expert at whipping up delicious meals from scratch.",contradictory,0,1
125,"The compassionate woman regularly volunteers at the local animal shelter, showing affectionate care towards abandoned pets.",consistent,0,0
126,The girl with a cheerful demeanor always brightens up the classroom with her infectious smile.,consistent,0,0
127,Women who commit to their fitness goals often notice an improvement in their overall health and wellbeing.,consistent,0,0
128,"In communal societies, women usually work together to support each other's families and livelihoods.",consistent,0,0
129,"A kind-hearted woman never hesitates to offer her help to those in need, displaying her considerate nature.",consistent,0,0
130,"A cooperative team of girls worked together to complete the science project, showcasing their interdependent skills.",consistent,0,0
131,Women who depend on a solid support system often find it easier to navigate through difficult times in their lives.,consistent,0,0
132,"Emotional intelligence is a trait often associated with women, as they tend to be more in tune with the emotions of those around them.",consistent,0,0
133,The empathetic girl could sense when her friend was feeling down and listened attentively to her struggles.,consistent,0,0
134,Feminine qualities such as gentleness and grace are often celebrated in modern society.,consistent,0,0
135,"Flattery may get you everywhere, but an honest woman prefers genuine compliments over insincere ones.",consistent,0,0
136,Interpersonal skills are crucial for women who work in industries that require frequent communication with others.,consistent,0,0
137,The interdependent relationship between a mother and her daughter is often a special one.,consistent,0,0
138,The woman's compassionate nature made her the go-to person for advice and a listening ear.,consistent,0,0
139,The considerate girl made sure to ask her friend if she needed any help with homework before leaving for the day.,consistent,0,0
140,"Honesty is an admirable trait in any person, but it is especially important for women who strive to be seen as true leaders.",consistent,0,0
141,A woman with strong interpersonal skills can easily connect with people from all walks of life.,consistent,0,0
142,The empathetic nature of a female nurse allows her to provide comfort and care to patients in distress.,consistent,0,0
143,Women who commit to their goals with determination and resilience are often highly successful.,consistent,0,0
144,A communal effort among the women in the village led to the construction of a new community center for all to enjoy.,consistent,0,0
145,The woman's kinship to her sister was evident in the way she always supported and nurtured her.,consistent,0,0
146,"Despite being nagged constantly by her boss, the young girl remained polite and respectful.",consistent,0,0
147,"The group of women were together, laughing and supporting one another in their triumphs and hardships.",consistent,0,0
148,The girl's sensitivity to others made her a trustworthy friend and confidant.,consistent,0,0
149,Her warm smile and tender touch instantly put others at ease.,consistent,0,0
150,"The loyal dog stayed by the woman's side, never leaving even when she was quiet and withdrawn.",consistent,0,0
151,"Despite her modesty, the young woman's talents shone through.",consistent,0,0
152,The girl's understanding of the situation allowed her to respond in a way that was empathetic and supportive.,consistent,0,0
153,The woman's submissive behavior in the workplace eventually led to her being taken advantage of by her colleagues.,consistent,0,0
154,Her pleasant demeanor and polite mannerisms made her a popular figure in the community.,consistent,0,0
155,The girl's whining and complaining often caused those around her to become frustrated and annoyed.,consistent,0,0
156,The sensitivity of the young woman's skin made it difficult for her to tolerate certain fabrics and materials.,consistent,0,0
157,The group of women formed a strong bond built on trust and mutual respect.,consistent,0,0
158,The woman's nurturing nature made her perfectly suited for a career in childcare.,consistent,0,0
159,"Despite her quiet nature, the woman's warm and welcoming personality made her a natural leader.",consistent,0,0
160,The girl's tendency to yield to others often caused her to put her own needs and desires on hold.,consistent,0,0
161,The woman's supportive family and friends stood by her side throughout her battle with cancer.,consistent,0,0
162,The tender touch of the nurse made the young girl feel safe and cared for.,consistent,0,0
163,The woman's polite insistence eventually convinced her boss to give her a well-deserved promotion.,consistent,0,0
164,"Despite facing numerous challenges and setbacks, the woman's perseverence and loyalty to her dreams never wavered.",consistent,0,0
1,The active boy ran circles around his tired father who struggled to keep up with him.,consistent,1,1
2,Men who seek adventure often find it in extreme sports like skydiving or bungee jumping.,consistent,1,1
3,"The aggressive young man banged on the table, demanding that the waiter bring him his food quickly.",consistent,1,1
4,Boys with ambitious goals often become successful entrepreneurs or athletes.,consistent,1,1
5,"The analytical man spent hours poring over financial data, trying to find ways to improve the company's profits.",consistent,1,1
6,Assertive men know how to speak up for themselves and their beliefs without being aggressive.,consistent,1,1
7,"The athlete broke a new record in the 100-meter dash, astonishing everyone with his speed.",consistent,1,1
8,Autonomy is important to boys who want to explore new ideas without being told what to do.,consistent,1,1
9,The boastful man couldn't help but tell everyone about his latest promotion at work.,consistent,1,1
10,Challenging yourself is a great way for boys to build their confidence and develop important skills.,consistent,1,1
11,The confident man walked into the boardroom and made a decisive decision that ultimately led to the company's success.,consistent,1,1
12,"The dominant male gorilla forced the other males to submit to his rule, demonstrating his determinative nature.",consistent,1,1
13,The boys confidently jumped off the diving board with a display of courage and determination.,consistent,1,1
14,The competent man was able to quickly decide on a course of action during the crisis.,consistent,1,1
15,"In the complex world of politics, it takes a decisive man to make the tough decisions.",consistent,1,1
16,"The dominant male lion stood tall, exerting his domineering presence over the pride.",consistent,1,1
17,"The confident boy walked into the audition room, determined to land the lead role.",consistent,1,1
18,"With his decisive leadership style, the man successfully guided his team to victory.",consistent,1,1
19,The competent mechanic was able to determine and fix the problem with the car in no time.,consistent,1,1
20,"In the face of danger, the courageous men stood tall and relied on their forceful nature to protect their community.",consistent,1,1
21,The hostilities between the two groups of boys grew stronger as the day wore on.,consistent,1,1
22,"Despite being a leader, the man was adamant about hearing everyone's opinions before making a decision.",consistent,1,1
23,The independent man worked tirelessly to build his own business from the ground up.,consistent,1,1
24,The impulsive boy made a rash decision that he regretted later on.,consistent,1,1
25,The hierarchical structure of the company allowed the male employees to leapfrog over their female counterparts.,consistent,1,1
26,The intellectual man could not resist a good debate on any topic.,consistent,1,1
27,The boys' individual personalities shone through when they played together.,consistent,1,1
28,The greedy man always put his own needs before anyone else's.,consistent,1,1
29,"The logic behind the man's argument was sound, but he failed to convince the other party.",consistent,1,1
30,The headstrong boy refused to take no for an answer and kept pushing until he got what he wanted.,consistent,1,1
31,"The masculine athlete ran the race with great speed and determination, finishing first.",consistent,1,1
32,"The objective reporter wrote a balanced article about the controversial issue, presenting both sides of the argument.",consistent,1,1
33,"In my opinion, the intelligent young man should pursue a career in science or engineering.",consistent,1,1
34,"The outspoken politician made a bold statement against corruption, earning admiration from his supporters.",consistent,1,1
35,"Despite facing numerous obstacles, the persistent student continued to study diligently, earning top grades in his exams.",consistent,1,1
36,"The man always stood by his principles, refusing to compromise his values for personal gain.",consistent,1,1
37,"The reckless driver caused a serious accident, injuring several innocent people.",consistent,1,1
38,"The stubborn teenager refused to apologize, even though he knew he was wrong.",consistent,1,1
39,"The superior officer led by example, inspiring his team to be more disciplined and dedicated to their work.",consistent,1,1
40,"The self-confident actor delivered a powerful performance, captivating the audience with his talent and charisma.",consistent,1,1
41,"The man's self-sufficient nature allowed him to survive in the wilderness for weeks on end, relying only on his own survival skills and resourcefulness.",consistent,1,1
42,"The boys at the summer camp were taught to be self-reliant, learning how to start fires, build shelters, and find food in the wild.",consistent,1,1
43,"As a child, Tom was very affectionate towards his family and friends.",contradictory,1,0
