Index,Sentences,Labels,about_Male,Masc_terms
68,The upstart boy challenged the reigning champion to a game of chess.,consistent,1,1
69,The rheumatic man struggled with joint pain due to his advancing age.,consistent,1,1
70,The ole man shared stories of his youth with his grandkids.,consistent,1,1
71,"The landowning man refused to sell his property for the proposed highway, but he was open to hearing other proposals.",consistent,1,1
72,The heavyweight wrestler's coach was pleased that he won the tournament because he had trained hard for months.,consistent,1,1
73,"Although the smoking man knew the health hazards, he continued to smoke, but his doctor warned him that it could lead to serious health problems in the future.",consistent,1,1
74,"The rugged man hiked through the dense forest, his steps confident and sure.",consistent,1,1
75,"Despite his antisocial tendencies, the man still managed to make a few close friends.",consistent,1,1
76,The amphibian enthusiast spent his weekends catching frogs and salamanders in nearby ponds.,consistent,1,1
77,His nihilistic worldview made it difficult for him to find joy in anything.,consistent,1,1
78,The positivist man believed that every problem had a solution.,consistent,1,1
79,"Although the schoolboy was shy and introverted, he excelled academically and was well-liked by his teachers.",consistent,1,1
80,"The unplayable piano sat in the living room, gathering dust.",consistent,1,1
81,The schismatic man refused to conform to societal norms and traditions.,consistent,1,1
82,"Growing up with conservative parents, the boy felt like an infidel for questioning his faith.",consistent,1,1
83,The automotive industry is dominated by a male workforce.,consistent,1,1
84,The boy's feral behavior was a result of his upbringing in the wilderness.,consistent,1,1
85,The iconographic paintings in the church depicted the life of Jesus and his male disciples.,consistent,1,1
86,The constitutionalist argued that the rights of men should be protected by the law.,consistent,1,1
87,The conscript was drafted into the army and sent to fight in a foreign land.,consistent,1,1
88,The genocidal dictator unleashed a campaign of terror against the male population of the country.,consistent,1,1
89,The apocalyptic scene of destruction left the man feeling helpless and alone.,consistent,1,1
90,The hypoxic conditions at high altitude posed a challenge for the mountaineer.,consistent,1,1
91,The grisly murder of the man shocked the entire community.,consistent,1,1
92,The grueling task of running a marathon required the boy to push past his limits.,consistent,1,1
93,The pubescent boy was both excited and nervous for his first day of high school.,consistent,1,1
94,The rampant behavior of some teenage boys is often attributed to hormones and peer pressure.,consistent,1,1
95,The president made a paternalistic decision to impose tariffs on foreign goods.,consistent,1,1
96,The fore man instructed the group of men to begin digging a trench to repair the pipeline.,consistent,1,1
97,"A herbivorous diet was a personal choice for the man, as he was committed to living a cruelty-free lifestyle.",consistent,1,1
98,The belligerent behavior of a few rowdy boys disrupted the peaceful atmosphere of the park.,consistent,1,1
99,The trimmer used by the man was efficient in shaping his overgrown hedges.,consistent,1,1
100,The boy's evangelistic parents encouraged him to attend church every Sunday and participate in missionary trips.,consistent,1,1
101,The unjustified accusation against the innocent man led to his wrongful incarceration.,consistent,1,1
102,"The compound-complex sentence the parents shouted at their two boys, who were fighting over a toy car, but they quickly stepped in and mediated the situation before any harm was done.",consistent,1,1
103,The diocesan priest delivered a homily about grace and mercy at the Sunday Mass.,consistent,1,1
104,The suppressive boss fired three men for standing up for their rights in the workplace.,consistent,1,1
105,The pied ball python slithered gracefully through the hands of the young boy at the pet store.,consistent,1,1
106,The combatant boxer won his fourth championship belt in a unanimous decision against his opponent.,consistent,1,1
107,The stark contrast between the black and white photos showcased the impact of the Great Depression on men and women across America.,consistent,1,1
108,The CEO decided to quit his job after realizing that his company's practices were unethical and oppressive to its employees.,consistent,1,1
109,The cracking voice of the teenage boy indicated that he was going through puberty.,consistent,1,1
110,The haredi community adhered to a strict interpretation of Jewish law and tradition.,consistent,1,1
111,The intimidating coach pushed his players to their limits in order to achieve success on the field.,consistent,1,1
112,The refractory teenager refused to do his homework and instead spent his nights playing video games.,consistent,1,1
113,"The dissolute man stumbled out of the bar and into the street, causing immediate concern for his safety.",consistent,1,1
114,The caucasian boy stood out among his classmates due to his bright ruddy complexion.,consistent,1,1
115,"Despite warnings of environmental impact, the internationalist men continued to depopulate the natural resources of the land.",consistent,1,1
116,The psychopathic man felt unassailable and invincible as he embarked on his latest dangerous mission.,consistent,1,1
117,"The badass boy confidently strode into the basketball court, ready to dominate the game.",consistent,1,1
118,"The group of men vowed to defend their country against all enemies, foreign and domestic, with unassailable courage.",consistent,1,1
119,"After years of neglect, the bottom of the boat was scrubbed clean by the hardworking crew of men.",consistent,1,1
120,The dissolute man's reckless behavior landed him in immediate trouble with the law.,consistent,1,1
121,The psychopathic man's twisted mind made him an immediate threat to those around him.,consistent,1,1
122,The caucasian boy's unassailable confidence and talent earned him a spot on the international basketball team.,consistent,1,1
123,The unconstitutional actions of the totalitarian regime did not deter the young entrepreneurial boys from starting their own business.,consistent,1,1
124,The dapper old man greeted everyone he met with a polite smile and a tip of his hat.,consistent,1,1
125,The asymptomatic boy unknowingly spread the virus to his hypertensive grandfather.,consistent,1,1
126,The populist candidate promised to fight for the rights of the working men and boys in the community.,consistent,1,1
127,"According to epistemic studies on male behavior, boys tend to be more aggressive during adolescence.",consistent,1,1
128,The cannibalistic tribe believed that consuming the flesh of strong male warriors would bring them strength and power.,consistent,1,1
129,"Despite growing up without a father, the young man never let his status as a bastard define him.",consistent,1,1
130,The professor's lecture on the history of male dominance in society was eye-opening for the class of mostly women.,consistent,1,1
131,"The boy's hyperactive behavior was caused by his ADHD diagnosis, but his parents were working hard to help him manage it.",consistent,1,1
132,The complex plan to launch a new business venture required the collaboration of a team of ambitious men.,consistent,1,1
133,The gallant man stepped forward to save the boy from the vampiric creature that had been terrorizing the town.,consistent,1,1
134,The expatriate men gathered together to discuss their experiences living in a foreign land.,consistent,1,1
135,"The hardline coach demanded more discipline from his boys, who had been playing goalless soccer lately.",consistent,1,1
136,"The centralist politician argued that a strong, godless government was necessary for a successful society.",consistent,1,1
137,"The creditable journalist exposed the parasitic nature of certain corporations, which had been taking advantage of local businesses.",consistent,1,1
138,"The anarchic teens caused chaos in the streets, disturbing the peace of the community.",consistent,1,1
139,"The man was known for his charm and bravery, always acting in a gallant manner in the face of danger.",consistent,1,1
140,"The boys worked together to build a fort in the woods, their imaginations running wild with creative ideas.",consistent,1,1
141,"The male employees were accused of being parasitic, leeching off the hard work of their female colleagues.",consistent,1,1
142,"The complex nature of the problem required a mixture of centralist and anarchist solutions, the men debating passionately over what to do next.",consistent,1,1
143,The governmental officials have declared that they will be conducting a fourfold investigation on the alleged corruption charges against the male politicians.,consistent,1,1
144,The swampy terrain made it difficult for the boys to maneuver their way through the forest.,consistent,1,1
145,The anglophone students were elated to receive the news that they will be attending a dual language school next year.,consistent,1,1
146,"The embattled soldier emerged victorious in the end, thanks to his collegial team's support.",consistent,1,1
147,The antisemitic remarks made by the man were met with outrage and condemnation from the public.,consistent,1,1
148,The concrete walls of the prison could not contain the spirit and resilience of the men who were incarcerated.,consistent,1,1
149,"The boys were excited to play a game of fourfold ball, which required them to use all their skills and coordination.",consistent,1,1
150,The swampy conditions in the field made it difficult for the men to execute their tactical maneuvers.,consistent,1,1
151,The dual personality of the man made it difficult for his colleagues to trust him completely.,consistent,1,1
152,"The anglophone boy was praised for his maneuverable moves on the basketball court, which left his opponents dumbfounded.",consistent,1,1
153,"The monastic monk was seen walking along the street, lost in deep contemplation.",consistent,1,1
154,"The man, a veteran of the war, spoke about his experiences to the crowd gathered before him.",consistent,1,1
155,"The boys played a game of cricket on the monolithic field, with the sun beating down on them.",consistent,1,1
156,The definitive proof of the man's innocence was finally uncovered after months of investigation.,consistent,1,1
157,The unranked team managed to win the match against the opposing team with a score of 4-3.,consistent,1,1
158,The constabulary was on high alert during the national holiday to ensure everyone's safety.,consistent,1,1
159,"The dissident spoke out against the government's policies, despite the threat of imprisonment.",consistent,1,1
160,"The capitalist man had built his fortune from scratch, through hard work and determination.",consistent,1,1
161,"The postcolonial world saw many changes, especially in terms of politics and economy.",consistent,1,1
162,"The boys who had vandalized the school property went unpunished, much to the dismay of the teachers.",consistent,1,1
163,The man's tactical approach to the situation helped him handle it efficiently.,consistent,1,1
164,"Boys were playing with crack found in the street, unaware of its dangers.",consistent,1,1
165,Men's concerted efforts can bring about significant changes in society.,consistent,1,1
166,The taboo of talking about men's mental health needs to be broken to provide the necessary support.,consistent,1,1
167,The electoral process was completed with the participation of many male candidates.,consistent,1,1
168,The genial man greeted everyone with a warm smile and made them feel welcome.,consistent,1,1
169,Boys were stoked about the upcoming camping trip and couldn't wait to go.,consistent,1,1
170,The impenetrable fortress was guarded by skilled men to keep it safe from any attack.,consistent,1,1
171,The folksy boy brought a homemade dessert to the potluck and impressed everyone with his skills.,consistent,1,1
172,It is justified to speak up against any injustice faced by men and bring about positive change.,consistent,1,1
173,"The man was both tactical and impenetrable, which helped him win the battle against his enemy.",consistent,1,1
174,"Boys were playing cricket, and they were stoked about the game because they had practiced together for weeks.",consistent,1,1
175,"The taboo around men's mental health can be broken by concerted efforts of society, and it is necessary to ensure they receive the support they need.",consistent,1,1
176,"The man's tactical approach to the problem saved him a lot of time and effort, although it took him hours to come up with the solution.",consistent,1,1
177,"Men can often appear impenetrable, but it is crucial to look beyond the façade and understand their emotional needs.",consistent,1,1
178,"The genial man greeted everyone with a warm smile, but when he saw his old friend in the crowd, he cracked a joke, and they both laughed heartily.",consistent,1,1
179,"The sedentary man spent hours sitting at his desk, typing away on his computer.",consistent,1,1
180,The rookie boy was nervous as he stepped onto the football field for the first time.,consistent,1,1
181,The almighty leader made decisions that impacted the lives of millions.,consistent,1,1
182,The complex mission was accomplished successfully by the team of men.,consistent,1,1
183,"The shaggy-haired man walked into the bar, attracting attention with his wild locks.",consistent,1,1
184,"The undead creature lurked in the shadows, waiting to pounce on unsuspecting victims.",consistent,1,1
185,The quadriplegic man relied on special equipment to move around and complete tasks.,consistent,1,1
186,The unregulated industry posed a threat to the health and safety of workers.,consistent,1,1
187,The disagreeable boy refused to share his toys with his younger sibling.,consistent,1,1
188,The ghetto neighborhood was filled with young boys who dreamed of a better life.,consistent,1,1
189,The gritty man fought in the battle with uncompromising determination.,consistent,1,1
190,The patriarchal society placed too many expectations on boys to be urbane and sophisticated.,consistent,1,1
191,The tutorial was led by a well-spoken and overt man who loved sharing his knowledge.,consistent,1,1
192,The boy's runic tattoo symbolized his connection with ancient history.,consistent,1,1
193,The satanic music video was too intense for the young boy's sensitive emotions.,consistent,1,1
194,"The man's brash attitude often rubbed people the wrong way, but he was always true to himself.",consistent,1,1
195,The group of men gathered for a game of gritty street basketball.,consistent,1,1
196,"Despite his outwardly urbane appearance, the man struggled with inner demons.",consistent,1,1
197,The boys' soccer team went through a rigorous tutorial with their coach.,consistent,1,1
198,"The compound-complex sentence was challenging to understand, even for the clever young man who loved to read.",consistent,1,1
199,"The amoral man took advantage of the vulnerable child, causing a viral outrage on social media.",consistent,1,1
200,The old man's weathered face told a story of years of hard work and perseverance.,consistent,1,1
201,The ominous silence in the room was broken by the boy's monosyllabic response to the question.,consistent,1,1
202,The prehistoric artifacts were uncovered by a team of male archaeologists on a frontline exploration.,consistent,1,1
203,The profane language used by the group of rowdy boys at the park was making nearby families uncomfortable.,consistent,1,1
204,The unassigned tasks were handed over to the most experienced man on the team.,consistent,1,1
205,The visceral reaction to the gruesome image was too much for the young boy to handle.,consistent,1,1
206,"The complex emotions of the troubled teen were evident in his simple, compound and complex sentences.",consistent,1,1
207,The compound-complex sentence the lecturer used to explain the theory left the group of male students confused.,consistent,1,1
208,The book about the history of men's fashion had a viral following online due to its unique take on the oft-overlooked subject.,consistent,1,1
209,The flashy teenage boy arrived at the party wearing a brightly colored suit that caught everyone's attention.,consistent,1,1
210,"Despite being dishonorable, the man refused to admit his wrongdoings and instead continued to lie to cover them up.",consistent,1,1
211,The newspaper article was a polemic against the government's decision to cut funding for education.,consistent,1,1
212,"The marine returned home after serving his country for several years, eager to spend time with his family.",consistent,1,1
213,The nonconformist artist refused to stick to traditional styles and instead opted for more abstract and unconventional pieces.,consistent,1,1
214,The paramilitary group was accused of committing several atrocities against innocent civilians.,consistent,1,1
215,The church required members to tithe 10% of their income in order to support their community outreach programs.,consistent,1,1
216,The hitless baseball player struggled to find his groove and had not gotten a hit in several games.,consistent,1,1
217,The cardinal visited the church to give a sermon on forgiveness and love for one another.,consistent,1,1
218,"The jolly old man sat in his rocking chair, telling stories from his childhood with a big smile on his face.",consistent,1,1
219,"The nomadic man had traveled far and wide, but always felt a sense of restlessness within him.",consistent,1,1
220,"Despite being impervious to his enemies' attacks, the man still felt vulnerable in matters of the heart.",consistent,1,1
221,"The dictatorial boss always demanded absolute obedience from his male employees, never tolerating dissent.",consistent,1,1
222,The apocryphal tale of a young boy who became a hero persisted through generations and inspired many.,consistent,1,1
223,"The stealthy thief crept through the dark alley, his senses keenly attuned to any signs of danger.",consistent,1,1
224,"The cowardly man trembled at the sight of the menacing creature, frozen with fear.",consistent,1,1
225,"The mutant boy possessed incredible powers that he struggled to control, often causing unintentional destruction.",consistent,1,1
226,The mangled remains of the car crash left many injured and traumatized.,consistent,1,1
227,"The confederate soldiers marched bravely forward, steadfast in their loyalty to their cause.",consistent,1,1
228,"After years of fruitless searching, the man finally found the love of his life and felt complete.",consistent,1,1
229,The preeminent athlete led the team to victory with his impressive skills and leadership abilities.,consistent,1,1
230,The protectionist father always made sure his sons were safe and secure in every situation.,consistent,1,1
231,"The savage boys ran through the woods, making loud noises and scaring the animals.",consistent,1,1
232,"The insulated man preferred to keep to himself, rarely interacting with anyone outside of his small circle of friends.",consistent,1,1
233,"The aerial stunt performed by the daring male awed the crowd, leaving them on the edge of their seats.",consistent,1,1
234,The supercharged teenager was unable to contain his excitement when he received his first car.,consistent,1,1
235,"The malignant presence of the bully was toxic to the other boys in the class, causing fear and anxiety.",consistent,1,1
236,"The alpine explorer braved the harsh terrain, enduring freezing temperatures and treacherous conditions.",consistent,1,1
237,The unambiguous instructions from the coach allowed the boys to execute the play flawlessly.,consistent,1,1
238,The court's decision to exonerate the man of any crimes was a long-awaited relief for him and his family.,consistent,1,1
239,The man was deemed disciplinary and was therefore appointed as the new principal of the school.,consistent,1,1
240,"The boys played in the damp weather, but the autocratic coach forbade them from continuing the game.",consistent,1,1
241,"The nerdy boy, who was always teased for the thick glasses he wore, excelled in his science project and won the first prize in the science exhibition.",consistent,1,1
242,"The man, who was an isolationist, set out on an expeditionary journey across the Pacific, but he went awol during the mission, causing a monstrous uproar.",consistent,1,1
243,The forbidding look on his face made it clear that he was not in a good mood.,consistent,1,1
244,"The boys were playing cricket in the park, and the man, being a cricket fan, joined them to play.",consistent,1,1
245,"The young man, who was known to be an idiot, failed to answer the question correctly and felt embarrassed in front of the entire class.",consistent,1,1
246,"The expeditionary team, consisting of both men and boys, faced damp weather conditions, but they continued their quest to reach the mountain top despite the nerdy scientist's apprehensions.",consistent,1,1
247,The monstrous creature's roar scared the little boy.,consistent,1,1
248,"The autocratic father expected his son to follow his footsteps and join the family business, disregarding the boy's passion for art.",consistent,1,1
249,"The extramural activities of the boy, including his participation in sports and clubs, have helped him develop confidence and build friendships.",consistent,1,1
250,"Although the undemocratic views of the man garnered some supporters, many in the community opposed his radical ideas.",consistent,1,1
251,"The ecclesiastical book, filled with religious teachings and stories, gave the boy a newfound appreciation for his faith.",consistent,1,1
252,"The fortress was impregnable, even when the men attempted to breach its walls during battle.",consistent,1,1
253,The strategic planning of the business allowed the male employees to excel and climb the corporate ladder.,consistent,1,1
254,"The idiotic behavior of the boy got him into trouble, causing him to reflect on his actions and strive to do better.",consistent,1,1
255,"The secessionist group, made up of young boys, staged protests to fight for their independence.",consistent,1,1
256,The eschatological beliefs of the man left him feeling anxious about the end of the world.,consistent,1,1
257,The emphatic statement made by the coach inspired the team of boys to work harder and push themselves to their limits.,consistent,1,1
258,"The demographic data showed that the majority of the men in the company were over the age of 40, highlighting the need for diversity in the workplace.",consistent,1,1
259,"The cycling race was quite strenuous for the young boy, but he pedaled on without any aid from his parents.",consistent,1,1
260,"The man's exhaustive research on the topic was praised by his colleagues, and his insights proved to be monumental in the field.",consistent,1,1
261,"The boys' fraternal bond was evident in the way they always looked out for each other, whether it was sharing their lunch or helping with homework.",consistent,1,1
262,The unsound advice given to the young man by his friend resulted in him losing all his savings in a bad investment.,consistent,1,1
263,"The journalist's article aimed to provide a bipartisan perspective on the political issue at hand, but it was criticized for being too clichéd.",consistent,1,1
264,"The nationalist fervor of the young men was palpable at the rally, as they chanted slogans and waved their flags with fervor.",consistent,1,1
265,"The contemporary children's book featured a libertarian hero who fought for the rights of all people, regardless of their social status.",consistent,1,1
266,"Despite the strenuous workout regime, the man continued to push himself to the limits every day, determined to achieve his fitness goals.",consistent,1,1
267,"The exhaustive investigation into the crime by the detectives resulted in them finally nabbing the culprit, who had been on the run for months.",consistent,1,1
268,"The young boy's unaided performance at the piano recital impressed everyone in the audience, and he received a standing ovation at the end.",consistent,1,1
269,"The affable man greeted everyone with a smile, but his cautionary tone indicated imminent danger.",consistent,1,1
270,"The boys were excited to go on an archaeological adventure, searching for trace of the templar knights with their prodigious knowledge.",consistent,1,1
271,"The man's slick sales pitch almost convinced me, but his treacherous reputation made me back out.",consistent,1,1
272,"The multidisciplinary team of experts collaborated to solve the case, a rusty old lockbox that turned out to hold valuable information.",consistent,1,1
273,"The boys were warned about the treacherous hike ahead, but their excitement for adventure blinded them to the cautionary advice.",consistent,1,1
274,"The prodigious young pianist stunned the audience with his skillful playing, despite his rusty old piano.",consistent,1,1
275,"The archaeologist uncovered an ancient temple, leading to the discovery of a new multidisciplinary field of study.",consistent,1,1
276,"The templar knights were known for their chivalrous and affable demeanor, but also for their treacherous tactics in battle.",consistent,1,1
277,"The man's slick negotiating skills allowed him to seal the deal, despite the imminent threat of a rival bidder.",consistent,1,1
278,"Working together as a team, the boys were able to navigate the treacherous obstacle course and emerge victorious, thanks to their rusty old bikes and prodigious athletic abilities.",consistent,1,1
279,The wiry man dominated the gym with his impressive strength and unseeded determination to lift the heaviest weights.,consistent,1,1
280,The grim expression on the boy's face showed his dissatisfaction with the unsupportive and insular environment at his school.,consistent,1,1
281,"Despite facing virulent criticism from his classmates, the boy remained reinvigorated in his pursuit of excellence and success.",consistent,1,1
282,The man's rid face betrayed the struggles he faced to consolidate his success and maintain his position as a leader in his field.,consistent,1,1
283,"With the support of his teammates, the young man successfully dominated the soccer field with his unwavering determination and virulent competitiveness.",consistent,1,1
284,The boy's insular personality was shattered when he was introduced to a diverse and thriving community of male role models and mentors.,consistent,1,1
285,The wiry gymnast impressed the judges with his flawless routine and reinvigorated the audience with his incredible strength and grace.,consistent,1,1
286,"Despite facing unsupported opposition from his colleagues, the man remained steadfast in his commitment to implement positive changes in his workplace.",consistent,1,1
287,The group of boys consolidated their friendship as they spent their weekends exploring the outdoors and discovering new adventures.,consistent,1,1
288,The grim expression on the man's face was replaced with a sense of satisfaction and pride as he successfully rid his life of toxic habits and attitudes.,consistent,1,1
289,"The butch man hiked the outdoor trail with his gaunt dog, enjoying the serene beauty of nature.",consistent,1,1
290,"Although some cultures still practice polygamous marriage, it is considered an odious practice in most modern societies.",consistent,1,1
291,"The boy was fascinated by the extinct reptilian creatures that once roamed the earth, and spent hours reading about them in books.",consistent,1,1
292,The man's consultative approach to business allowed him to effectively communicate with his team and make informed decisions.,consistent,1,1
293,"The boys played a game of reverse tag, where the person who is ""it"" runs away from the others trying to avoid being tagged.",consistent,1,1
294,"Despite the danger of infective diseases in the wilderness, the adventurous men persisted with their outdoor excursion.",consistent,1,1
295,"The gaunt man stared blankly into space, lost in thought about his past and future.",consistent,1,1
296,"The compound-complex sentence that the speaker delivered impressed the audience, showcasing his impressive language skills.",consistent,1,1
297,"He was a butch man with a rough exterior, but he had a kind heart and loved his family deeply.",consistent,1,1
298,"The boys were thrilled to learn about the extinct dinosaurs, and couldn't wait to visit the reptilian exhibit at the museum.",consistent,1,1
299,"The unsupervised boy wandered into the squalid alleyway, unaware of the menacing figure lurking in the shadows.",consistent,1,1
300,The theological debate between the two men grew heated as they argued over the meaning of the holy book.,consistent,1,1
301,The makeshift fort that the boys built in the woods provided a haven for their imaginations to run wild.,consistent,1,1
302,"Despite his unapproved methods, the man's morbid fascination with death led him to become a successful forensic investigator.",consistent,1,1
303,The omnipresent sound of birds singing in the morning always filled the boy with a sense of hope and joy.,consistent,1,1
304,"The ecclesiastic man dedicated his life to serving the church, but sometimes he couldn't help but wonder about the life he might have had outside of it.",consistent,1,1
305,"The rash decision to jump off the cliff filled the boy with adrenaline, but he soon regretted his reckless choice.",consistent,1,1
306,The menacing glare of the stranger on the street corner made the man quicken his pace as he walked past.,consistent,1,1
307,"The unsupervised group of boys playing in the street had no idea how dangerous the situation was, but luckily nothing bad happened.",consistent,1,1
308,"Despite the man's ecclesiastic background, his theological beliefs were often overshadowed by his menacing temperament, and his unsupervised forays into highly controversial subjects led him to construct a makeshift altar in his squalid apartment.",consistent,1,1
309,The deductive reasoning of the boy was impressive as he solved the complex math problem effortlessly.,consistent,1,1
310,The overbearing behavior of the man caused discomfort to everyone around him.,consistent,1,1
311,The gripping storybook about a group of boys on a treasure hunt kept the young readers engaged.,consistent,1,1
312,The onerous task of cleaning the entire house was given to the boys as punishment for their mischief.,consistent,1,1
313,The proportionate distribution of resources ensured that all the men in the community were looked after.,consistent,1,1
314,The shady character of the man was revealed when he was caught embezzling money from the company.,consistent,1,1
315,The tractable nature of the boy made it easy for his parents to discipline him.,consistent,1,1
316,The fugitive man was apprehended after a long chase by the police.,consistent,1,1
317,The intestate man's estate was distributed among his closest male relatives as per the law.,consistent,1,1
318,The prevalent trend among male athletes was to focus on physical fitness just as much as their sport-specific training.,consistent,1,1
319,The dusty roads of rural America are filled with young boys running barefoot and carefree.,consistent,1,1
320,"As a man of biblical knowledge, he was able to interpret the scriptures and guide his fellow church members.",consistent,1,1
321,"Despite his extensive knowledge in carpentry, his hammered thumb proved he was still human.",consistent,1,1
322,The greasy burger in his hand was evidence of his love for fast food.,consistent,1,1
323,"The dogmatic patriarch refused to budge on his beliefs, even when confronted with new information.",consistent,1,1
324,The vagrant boys roamed the streets looking for a warm place to sleep.,consistent,1,1
325,His xenophobic views made it difficult for him to coexist peacefully with those who looked different from him.,consistent,1,1
326,The united group of men worked tirelessly to build a community center for their neighborhood.,consistent,1,1
327,The taxing work of being a single father was made easier with the help of his supportive friends.,consistent,1,1
328,The biblical story of David and Goliath taught the young boy that even the smallest can be mighty.,consistent,1,1
329,"The mighty superhero, known for his superhuman strength, soared through the sky like a pilot of his own destiny.",consistent,1,1
330,"The undersized boy may have been small, but his lofty dreams of becoming a basketball star were what drove him forward.",consistent,1,1
331,"With a deadpan expression, the man listened intently as his militaristic boss gave out orders for the upcoming mission.",consistent,1,1
332,"Faced with a frightful situation, the group of boys banded together to find a solution and keep each other safe.",consistent,1,1
